一鼻子灰	yī bí zǐ huī
丁令	dīng líng
丁令威	dīng líng wēi
丁倒	dīng dǎo
丁娘子	dīng niáng zǐ
丁子	dīng zǐ
丁子香	dīng zǐ xiāng
丁当长鸣	dīng dāng cháng míng
丁折	dīng shé
丁点儿	dīng diǎn er
七世子孙	qī shì zǐ sūn
七事子	qī shì zǐ
七佛	qī fó
七倒八歪斜	qī dǎo bā wāi xié
七停八当	qī tíng bā dàng
七分似鬼	qī fēn sì guǐ
七十二地煞	qī shí èr dì shà
七十二子	qī shí èr zǐ
七十二福地	qī shí èr fú dì
七十二行	qī shí èr háng
七十二钻	qī shí èr zuàn
七十子	qī shí zǐ
七十钻	qī shí zuàn
七地	qī dì
七大夫	qī dài fū
七姑子	qī gū zǐ
七子	qī zǐ
七子八壻	qī zǐ bā xù
七子八婿	qī zǐ bā xù
七子均养	qī zǐ jūn yǎng
七子镜	qī zǐ jìng
七搭八搭	qī cháng bā dā
七断八续	qī duàn bā sù
七次量衣一次裁	qī cì liáng yī yī cì cái
七煞	qī shà
七病八倒	qī bìng bā dǎo
七短八长	qī duǎn bā cháng
七筴	qī jiā
七老八倒	qī lǎo bā dǎo
七舆大夫	qī yú dài fū
七舍	qī shè
七行俱下	qī háng jù xià
七贵五侯	qī guì wǔ hòu
七返还丹	qī fǎn huán dān
七重围子	qī chóng wéi zǐ
七长八短	qī cháng bā duǎn
七隩	qī yù
七颠八倒	qī diān bā dǎo
万丈高楼从地起	wàn zhàng gāo lóu cóng dì qǐ
万丈高楼平地起	wàn zhàng gāo lóu píng dì qǐ
万乘	wàn shèng
万俟	mò qí
万别千差	wàn bié qiān chā
万卷	wàn juàn
万古长存	wàn gǔ cháng cún
万古长春	wàn gǔ cháng chūn
万古长青	wàn gǔ cháng qīng
万头攒动	wàn tóu cuán dòng
万家生佛	wàn jiā shēng fó
万年吉地	wàn nián jí dì
万应灵丹	wàn yìng líng dān
万应灵药	wàn yìng líng yào
万应锭	wàn yìng dìng
万石	wàn dàn
万石君	wàn dàn jūn
万箭攒心	wàn jiàn cuán xīn
万耑	wàn zhuān
万象更新	wàn xiàng gēng xīn
万象森罗	wàn xiàng sēn luó
万贯家私	wàn guàn ji sī
万里侯	wàn lǐ hòu
万里长城	wàn lǐ cháng chéng
万里长征	wàn lǐ cháng zhēng
丈夫儿	zhàng fū er
丈夫子	zhàng fū zǐ
丈量	zhàng liáng
三不拗六	sān bù niù liù
三世佛	sān shì fó
三乘	sān shèng
三九相公	sān jiǔ xiàng gōng
三侯	sān hòu
三侯之章	sān hòu zhī zhāng
三保太监	sān bǎo tài jiàn
三倒	sān dǎo
三公子	sān gōng zǐ
三分似人	sān fēn sì rén
三勒浆	sān lè jiāng
三十儿	sān shí er
三十六行	sān shí liù háng
三十子	sān shí zǐ
三十年老娘倒绷孩儿	sān shí nián lǎo niáng dǎo bēng hái ér
三千弟子	sān qiān dì zǐ
三占从二	sān zhān cóng èr
三句不离本行	sān jù bù lí běn háng
三句话不离本行	sān jù huà bù lí běn háng
三只手	sān zhī shǒu
三咽	sān yān
三啇	sān dí
三处合	sān chǔ hé
三大差别	sān dà chā bié
三天两宿	sān tiān liǎng xiǔ
三娘子	sān niáng zǐ
三家藷	sān jiā zhū
三宿	sān xiǔ
三宿恋	sān xiǔ liàn
三寸咽	sān cùn yān
三尺童子	sān chǐ tóng zǐ
三差两错	sān chā liǎng cuò
三差五错	sān chā wǔ cuò
三年五载	sān nián wǔ zǎi
三座大山	sān zuò tài shān
三征七辟	sān zhǐ qī pì
三战三北	sān zhān sān běi
三折股为良医	sān zhé gǔ wéi liáng yī
三折肱为良医	sān zhé gōng wéi liáng yī
三握发	sān wò fà
三摩地	sān mó dì
三支比量	sān zhī bǐ liáng
三斗尘	sān dǒu chén
三斗葱	sān dǒu cōng
三斗醋	sān dǒu cù
三无坐处	sān wú zuò chǔ
三日三夜说不了	sān rì sān yè shuō bù liǎo
三日仆射	sān rì pú yè
三日曲水	sān rì qǔ shuǐ
三旨相公	sān zhǐ xiàng gōng
三曲	sān qǔ
三更	sān gēng
三更半夜	sān gēng bàn yè
三更枣	sān gēng zǎo
三松倒	sān sōng dǎo
三查三整	sān zhā sān zhěng
三檐青罗伞	sān yán qīng luó sǎn
三洲曲	sān zhōu qǔ
三澣	sān hàn
三灾八难	sān zāi bā nàn
三牛为麄	sān niú wéi cū
三率	sān shuài
三班倒	sān bān dǎo
三男子	sān nán zǐ
三番子	sān fān zǐ
三百六十行	sān bǎi liù shí háng
三省	sān xǐng
三省吾身	sān xǐng wú shēn
三缪	sān miù
三罗	sān luó
三翟	sān zhái
三老五更	sān lǎo wǔ gēng
三老四少	sān lǎo sì shào
三脊茅	sān jǐ máo
三脚虾蟆	sān jiǎo há má
三臡八菹	sān ní bā zū
三舍	sān shè
三舍人诗	sān shè rén shī
三舍法	sān shè fǎ
三藏	sān zàng
三请诸葛亮	sān qǐng zhū gě liàng
三轮儿	sān lún er
三连冠	sān lián guàn
三通	sān tòng
